All-purpose flour|365.0|10.3|73.4|1.0|10.0|100.0|0.1
Apple|84.0|1.3|3.5|0.1|50.0|200.0|0.4
Avocado, Raw|120.0|2.2|2.2|12.1|20.0|150.0|1.5
Breakfast cereal|385.0|15.5|72.0|2.5|30.0|100.0|0.8
Chia seeds, Raw|480.0|16.5|7.7|30.7|10.0|50.0|0.8
Cucumber, Raw|10.0|0.6|1.5|0.2|50.0|200.0|0.1
Dark Chocolate, 70% min|598.0|7.8|35.0|42.6|10.0|50.0|1.9
Egg, as an Ingridient|150.0|12.6|1.1|10.6|50.0|150.0|0.1
Feta cheese|265.0|14.3|3.9|21.3|10.0|100.0|1.2
Fish fillets, Fried|300.0|11.0|21.0|16.7|100.0|250.0|2.2
Granola bars|550.0|9.0|60.0|25.0|20.0|100.0|0.9
Greek yogurt, Plain, Nonfat|59.0|10.3|3.6|0.3|20.0|150.0|1.2
Green lentils|124.0|8.0|16.0|1.1|25.0|200.0|0.3
Green peas, Cooked from Frozen|78.0|5.2|10.0|0.3|30.0|250.0|0.3
Lettuce, Raw|17.0|1.2|1.2|0.3|50.0|100.0|0.2
Milk, Whole|61.0|3.4|4.9|3.3|80.0|300.0|0.1
Pasta, Whole Wheat, Cooked|150.0|6.0|26.3|1.7|50.0|350.0|0.3
Plums, Raw|46.0|0.7|10.0|0.3|50.0|150.0|0.2
Porridge oats, Regular or Quick|350.0|15.0|55.0|5.5|20.0|80.0|0.1
Potato, Plain, Cooked|86.0|1.7|18.0|0.1|100.0|400.0|0.1
Red Beans, Canned|124.0|8.0|16.0|1.1|25.0|200.0|0.2
Red meat, Cooked|250.0|35.0|0.0|5.0|100.0|300.0|1.5
Rice, White, Cooked|130.0|2.8|28.0|0.5|50.0|250.0|0.2
Salmon, Smoked|117.0|18.3|0.0|4.3|50.0|200.0|3.2
Spinach, Raw|23.0|2.9|1.4|0.4|5.0|30.0|0.7
Strawberries, Raw|32.0|0.7|5.7|0.3|50.0|200.0|0.8
Sunflower seeds, Raw|584.0|20.8|10.5|51.5|5.0|50.0|0.3
Tomato, Raw|18.0|0.9|2.7|0.2|40.0|250.0|0.1
Tuna, Canned|120.0|25.5|0.0|0.8|50.0|200.0|0.8
Veggie Soup, Homemade|40.0|1.3|6.4|0.7|100.0|300.0|0.3
White Bread, Commercially Prepared|266.0|8.9|46.7|3.3|10.0|100.0|0.1
White beans, Cooked|135.0|8.0|16.0|1.3|25.0|200.0|0.2
White meat, Cooked|170.0|30.9|0.0|5.0|100.0|400.0|1.2
Yellow pepper, Raw|26.0|1.0|3.9|0.3|20.0|200.0|0.4
